2.00	0.300	Prix Garantie Cappuccino non sucré
2.00	0.200	Franck Aroma Chicorée torréfiée
2.95	0.056	Tassimo Hag décaféiné 8 portions
3.50	0.180	Coop Prix Garantie Café souble
3.50	0.250	Coop Serato décaféiné moulu
3.50	0.250	Coop Serato Grains de café décafeiné
4.45	0.100	Fairtrade Jubilor soluble
4.50	0.030	Nescafé Gold de Luxe Sticks de café soluble 15 
4.55	0.125	Nescafé Mélange pour Cappuccino non sucré 
4.95	0.250	Lavazza Qualità Oro Café moulu 100% Arabica
4.95	0.250	Caffè Hag Café décaféiné moulu
4.95	0.250	Onko Café moulu peu irritant
4.95	0.250	Jacobs Médaille d'Or café moulu
4.95	0.250	Caffè Hag Grains de café décaféiné
5.30	0.250	Lavazza Rossa Café moulu
5.40	0.144	Nescafé Mélange Viennois 8 portions
5.40	0.140	Nescafé Cappuccino sucré
5.40	0.250	Caffè Chicco d'Oro Tradition Café moulu
5.40	0.144	Nescafé Latte Macchiato 8 portions
5.40	0.250	Caffè Chicco d'Oro Cremino Café moulu
5.40	0.250	Caffè Chicco d'Oro Tradition Grains de café
5.50	0.128	Tassimo Mastro Lorenzo Crema 16 portions
5.50	1.000	Coop Prix Garantie Café en grains
5.50	0.144	Tassimo Mastro Lorenzo Crema Intenso 16 portions
5.50	0.100	Jacobs Médaille d'or soluble sachet
5.50	0.128	Tassimo Mastro Lorenzo Espresso 16 portions
5.70	0.250	Max Havelaar Chicco d'oro Max grain
6.20	0.500	Coop Espresso Café en grains
6.20	0.500	Coop Espresso moulu
6.20	0.267	Tassimo Mastro Lorenzo Cappuccino
6.60	0.104	Nescafé Dolce Gusto Espresso 16 capsules
6.60	0.159	Nescafé Dolce Gusto Chai Tea Latte 16 capsules
6.60	0.336	Nescafé Dolce Gusto Caffè Lungo Decafinato
6.60	0.128	Nescafé Dolce Gusto Espresso Intrnso 16
6.60	0.200	Nescafé Dolce Gusto Cappuccino 16 capsules
6.60	0.101	Nescafé Dolce Gusto Espresso Macchiato 16 c
6.60	0.160	Nescafé Dolce Gusto Grande Intenso 16 capsules
6.60	0.270	Nescafé Dolce Gusto Chococino 8 portions
6.60	0.112	Nescafé Dolce Gusto Caffè Lungo 16 capsules
6.60	0.120	Nescafé Dolce Gusto Espresso Barista 16 C
6.60	0.160	Nescafé Dolce Gusto Café au Lait 16 cap.
6.60	0.384	Nescafé Dolce Gusto Crema Grande
6.60	0.096	Café Dolce Gusto Caffè Lungo Mild 16 pièces
6.60	0.256	Nescafé Dolce Gusto Nesquik 16 C
6.60	0.194	Nescafé Dolce Gusto Latte Macchiato 16 capsules
6.60	0.168	Nescafé Dolce Gusto Latte Macchiato 8 portions
6.90	0.200	Incarom Nescoré Sachet
6.90	0.220	Fine Food Wild-Coffee Medium
6.90	0.220	Fine Food Wild-Coffee Espresso
6.95	0.144	Tassimo Jacobs Crema XL 16 portions
6.95	0.100	Nescafé Sérenade Café décaféiné soluble
6.95	0.100	Nescafé Gold de Luxe Café soluble
6.95	0.100	Nescafé Gold all'Italiana Café soluble
6.95	0.365	Tassimo Milka 8 portions
6.95	0.180	Nescafé Red Cup Beutel
6.95	0.136	Tassimo Rainforest Alliance caffé 16 portions
6.95	0.100	Nescafé Gold Finesse Café soluble
7.50	0.180	Martello Gourmet Gold 30 capsules
7.50	0.180	Martello Crema Gusto 30 capsules
7.50	0.275	Incarom Classic Boîte
7.50	0.500	Jubilor Café moulu
7.50	0.180	Martello Ristretto 30 Kapseln
7.50	0.500	Jubilor Grains de café
7.50	0.180	Martello Café Intenso 30 capsules
7.55	0.500	Jacobs Médaille d'Or Café moulu 100% Premium 
7.55	0.500	Jacobs Médaille d'Or Grains de café 100% Arabica 
7.90	0.100	Nescafé Gold de luxe café soluble
7.90	0.100	Jacobs Médaille d'Or composition du café soluble
7.90	0.100	La Semeuse Mocca löslicher café 100g
7.90	0.100	Caffè Hag Café décaféiné soluble
7.90	0.100	Onko Café soluble peu irritant
7.95	0.200	Bambu Café instantané - recharge
7.95	0.500	Lavazza Oro Grains de café
8.20	0.469	Tassimo Chai Latte 8 portions
